모델 명,이미지 수
GLS_클래스_X166_2017_2019,88
GLS_클래스_X167_2020_2024,79
GV70_2021_2023,84
GV80_2020_2022,84
GV80_2024_2025,87
G_클래스_W463_2009_2017,86
G_클래스_W463b_2019_2025,82
K3_2013_2015,80
K5_2세대_2016_2018,87
K5_3세대_2020_2023,82
K5_3세대_하이브리드_2020_2022,57
K5_하이브리드_3세대_2020_2023,87
K7_프리미어_2020_2021,83
K7_프리미어_하이브리드_2020_2021,88
K8_2022_2024,80
K8_하이브리드_2022_2024,80
LF_쏘나타_2015_2017,76
M2_F87_2016_2021,88
M4_F82_2015_2020,77
M5_F90_2018_2023,86
MKC_2015_2018,80
New_XF_2012_2015,85
Q30_2017_2019,88
Q3_F3_2020_2024,80
Q50_2014_2017,87
Q5_FY_2020,88
Q5_FY_2021_2024,83
Q7_4M_2016_2019,88
Q7_4M_2020_2023,83
Q8_4M_2020_2025,87
QM3_2014_2017,83
QM6_2017_2019,82
QX60_2016_2018,86
RAV4_2016_2018,72
RAV4_5세대_2019_2024,88
S60_3세대_2020_2024,84
S90_2017_2020,87
S90_2021_2025,82
SM3_네오_2015_2019,80
SM5_노바_2015_2019,86
SM6_2016_2020,84
SM7_노바_2015_2019,88
SM7_뉴아트_2008_2011,86
S_클래스_W221_2006_2013,83
S_클래스_W222_2014_2020,88
S_클래스_W223_2021_2025,85
UX250h_2019_2024,84
V40_2015_2018,81
V60_크로스컨트리_2세대_2020_2025,85
V90_크로스컨트리_2018_2024,85
X1_F48_2016_2019,88
X1_F48_2020_2022,82
X1_U11_2023_2024,85
X2_F39_2018_2023,81
X3_G01_2018_2021,83
X3_G01_2022_2024,86
X4_F26_2015_2018,84
X4_G02_2019_2021,87
X4_G02_2022_2025,84
X5_F15_2014_2018,88
X5_G05_2019_2023,85
X5_G05_2024_2025,83
X6_F16_2015_2019,88
X6_G06_2020_2023,86
X6_G06_2024_2025,86
X7_G07_2019_2022,84
X7_G07_2023_2025,83
XC40_2019_2022,85
XC60_2세대_2018_2021,88
XC60_2세대_2022_2025,81
XC90_2세대_2017_2019,88
XC90_2세대_2020_2025,77
XE_2016_2019,88
XF_X260_2016_2020,84
XJ_8세대_2010_2019,88
XM3_2020_2023,80
XM3_2024,80
YF쏘나타_2009_2012,84
YF쏘나타_하이브리드_2011_2015,88
Z4_G29_2019_2025,86
e_트론_2020_2023,86
i30_PD_2017_2018,82
i4_2022_2024,76
iX_2022_2024,76
골프_7세대_2013_2016,87
그랑_콜레오스_2025,85
그랜드_스타렉스_2016_2018,87
그랜드_체로키_2014_2020,81
그랜드_체로키_WL_2021_2023,84
그랜드카니발_2006_2010,77
그랜저TG_2007_2008,81
그랜저_GN7_2023_2025,72
그랜저_HG_2011_2014,84
그랜저_HG_2015_2017,80
그랜저_IG_2017_2019,80
글래디에이터_JT_2020_2023,80
기블리_2014_2023,83
넥쏘_2018_2024,84
뉴QM3_2018_2019,80
뉴_A6_2012_2014,88
뉴_A6_2015_2018,87
뉴_CC_2012_2016,76
뉴_ES300h_2013_2015,86
뉴_ES300h_2016_2018,85
뉴_G80_2025_2026,82
뉴_GV80_2024_2025,86
뉴_MKZ_2017_2020,84
뉴_QM5_2012_2014,84
뉴_QM6_2021_2023,59
뉴_SM5_임프레션_2008_2010,87
뉴_SM5_플래티넘_2013_2014,88
뉴_스타일_코란도_C_2017_2019,73
뉴_제타_2011_2016,84
뉴_체어맨_W_2012_2016,86
뉴_카이엔_2011_2018,87
뉴_티구안_2012_2016,84
뉴쏘렌토_R_2013_2014,86
니로_2017_2019,78
더_K9_2019_2021,88
더_기아_레이_EV_2024_2025,88
더_넥스트_스파크_2016_2018,83
더_뉴_G70_2021_2025,80
더_뉴_K3_2016_2018,84
더_뉴_K3_2세대_2022_2024,78
더_뉴_K5_2세대_2019_2020,84
더_뉴_K5_3세대_2024_2025,84
더_뉴_K5_하이브리드_3세대_2023_2025,87
더_뉴_K7_2013_2016,70
더_뉴_K9_2세대_2022_2025,75
더_뉴_QM6_2020_2023,80
더_뉴_QM6_2024_2025,78
더_뉴_SM6_2021_2024,88
더_뉴_그랜드_스타렉스_2018_2021,84
더_뉴_그랜저_IG_2020_2023,81
더_뉴_기아_레이_2022_2025,81
더_뉴_니로_2020_2022,88
더_뉴_레이_2018_2022,88
더_뉴_렉스턴_스포츠_2021_2025,88
더_뉴_렉스턴_스포츠_칸_2021_2025,87
더_뉴_말리부_2019_2022,86
더_뉴_맥스크루즈_2016_2018,76
더_뉴_모닝_2015_2016,84
더_뉴_모닝_JA_2024_2025,87
더_뉴_모하비_2017_2019,81
더_뉴_셀토스_2023_2025,84
더_뉴_스파크_2019_2022,86
더_뉴_싼타페_2021_2023,84
더_뉴_쏘렌토_2018_2020,88
더_뉴_쏘렌토_4세대_2024_2025,82
더_뉴_아반떼_2014_2016,78
더_뉴_아반떼_AD_2019_2020,86
더_뉴_아반떼_CN7_2023_2025,88
더_뉴_아이오닉_하이브리드_2020,80
더_뉴_카니발_2019_2020,83
더_뉴_카니발_4세대_2024_2025,79
더_뉴_코나_2021_2023,84
더_뉴_코란도_스포츠_2016_2018,72
더_뉴_투싼_NX4_2023_2025,86
더_뉴_트랙스_2017_2022,80
더_뉴_파사트_2012_2019,88
더_뉴_팰리세이드_2023_2024,84
더_뉴스포티지R_2014_2016,88
더_올뉴G80_2021_2024,86
더_올뉴투싼_하이브리드_2021_2023,88
디_올_뉴_니로_2022_2025,84
디_올_뉴_스포티지_2022_2024,60
디_올뉴그랜저_2023_2025,87
디_올뉴니로EV_2023_2024,87
디_올뉴니로_2022_2025,87
디_올뉴싼타페_2024_2025,86
디_올뉴코나_2023_2025,87
디스커버리_4_2010_2016,85
디스커버리_5_2017_2020,85
디스커버리_5_2022_2024,85
디스커버리_스포츠_2015_2019,88
디스커버리_스포츠_2세대_2020_2025,84
디펜더_L663_2020_2025,88
라브4_4세대_2013_2018,88
라브4_5세대_2019_2024,85
랭글러_JK_2009_2017,81
랭글러_JL_2018_2024,83
레니게이드_2015_2017,87
레니게이드_2019_2023,85
레이_2012_2017,88
레인지로버_4세대_2014_2017,88
레인지로버_4세대_2018_2022,87
레인지로버_5세대_2023_2024,82
레인지로버_벨라_2018_2019,88
레인지로버_스포츠_2세대_2013_2017,88
레인지로버_스포츠_2세대_2018_2022,85
레인지로버_이보크_2016_2019,86
레인지로버_이보크_2세대_2020_2022,88
레인지로버_이보크_2세대_2023_2024,84
렉스턴_스포츠_2018_2021,76
렉스턴_스포츠_칸_2019_2020,86
르반떼_2017_2022,88
리얼_뉴_콜로라도_2021_2022,74
마칸_2014_2018,86
마칸_2019_2021,80
마칸_2022_2024,65
말리부_2012_2016,74
머스탱_2015_2023,88
모닝_어반_JA_2021_2023,88
모델_3_2019_2022,88
모델_3_2024_2025,88
모델_Y_2021_2025,88
모하비_더_마스터_2020_2024,85
몬데오_4세대_2015_2020,87
박스터_718_2017_2024,84
베뉴_2020_2024,78
베리_뉴_티볼리_2020_2023,81
벨로스터_JS_2018_2020,77
뷰티풀_코란도_2019_2024,88
셀토스_2020_2023,84
스타리아_2022_2025,66
스토닉_2018_2020,75
스팅어_2018_2020,88
스팅어_마이스터_2021_2023,88
스파크_2012_2015,74
스포티지_4세대_2016_2018,84
스포티지_5세대_2022_2024,84
스포티지_더_볼드_2019_2022,78
시에나_4세대_2021_2024,88
싼타페_MX5_2024_2025,88
싼타페_TM_2019_2020,83
싼타페_더_프라임_2016_2018,88
쏘나타_DN8_2020_2023,84
쏘나타_뉴_라이즈_2018_2019,81
쏘나타_디_엣지_DN8_2024_2025,87
쏘렌토_4세대_2021_2023,85
아반떼_AD_2016_2018,84
아반떼_CN7_2021_2023,84
아반떼_MD_2011_2014,87
아반떼_N_2022_2023,86
아반떼_하이브리드_CN7_2021_2023,88
아베오_2012_2016,87
아슬란_2015_2018,87
아이오닉5_2022_2023,88
아이오닉6_2023_2025,86
아이오닉_하이브리드_2016_2019,72
아테온_2018_2023,87
알티마_2017_2018,88
액티언_2세대_2025,84
어코드_10세대_2018_2022,85
에비에이터_2세대_2020_2025,85
에스컬레이드_2015_2020,85
에스컬레이드_5세대_2021_2024,84
에쿠스_신형_2010_2015,86
엑센트_신형_2011_2019,88
올_뉴_K3_2019_2021,81
올_뉴_K7_2016_2019,86
올_뉴_K7_하이브리드_2017_2019,88
올_뉴_렉스턴_2021_2025,79
올_뉴_말리부_2017_2018,88
올_뉴_모닝_2012_2015,84
올_뉴_모닝_JA_2017_2020,88
올_뉴_쏘렌토_2015_2017,77
올_뉴_카니발_2015_2019,84
올_뉴_카마로_2017_2018,82
올_뉴_투싼_TL_2016_2018,87
올_뉴_투싼_TL_2019_2020,81
올란도_2012_2018,85
익스플로러_2016_2017,88
익스플로러_2018_2019,84
익스플로러_6세대_2020_2025,85
일렉트리파이드_GV70_2022_2024,88
임팔라_2016_2019,80
제네시스_DH_2014_2016,84
체로키_KL_2019_2023,88
카니발_4세대_2021,84
카니발_4세대_2022_2023,82
카이엔_PO536_2019_2023,84
캐스퍼_2022_2024,87
캠리_XV70_2018_2024,87
컨티넨탈_10세대_2017_2019,84
컨티넨탈_GT_2세대_2012_2017,79
컨티넨탈_GT_3세대_2018_2023,84
컴패스_2세대_2018_2022,83
코나_2018_2020,78
코나_SX2_2023_2025,83
코세어_2020_2022,85
콜로라도_2020_2020,85
콰트로포르테_2014_2016,88
콰트로포르테_2017_2022,77
쿠퍼_컨버터블_2016_2024,84
쿠퍼_컨트리맨_2012_2015,88
쿠퍼_컨트리맨_2016_2024,87
쿠퍼_클럽맨_2016_2024,88
타이칸_2021_2025,86
토레스_2023_2025,70
투싼_NX4_2021_2023,83
투아렉_3세대_2020_2023,79
트래버스_2020_2023,81
트랙스_2013_2016,80
트랙스_크로스오버_2024_2025,73
트레일블레이저_2021_2022,79
트레일블레이저_2023,65
티구안_올스페이스_2018_2023,88
티볼리_2015_2018,80
티볼리_아머_2018_2019,86
티볼리_에어_2016_2019,88
티볼리_에어_2021_2022,66
파나메라_2010_2016,86
파나메라_971_2017_2023,87
파사트_GT_B8_2018_2022,88
파일럿_3세대_2016_2018,88
팰리세이드_2019_2022,83
팰리세이드_LX3_2025,75
프리우스_4세대_2016_2018,80
프리우스_4세대_2019_2022,90
프리우스_C_2018_2020,86
최대 이미지 수 (프리우스_4세대_2019_2022),90
최소 이미지 수 (K5_3세대_하이브리드_2020_2022),57
